form,usan
adrenaline,epinephrine
amethocaine,tetracaine
amoxycillin,amoxicillin
benzylpenicillin,penicillin g
cefalexin,cephalexin
ciclosporin,cyclosporine
co-trimoxazole,sulfamethoxazole / trimethoprim
colecalciferol,cholecalciferol
cotrimoxazole,sulfamethoxazole / trimethoprim
frusemide,furosemide
glibenclamide,glyburide
glyceryl trinitrate,nitroglycerin
hydroxycarbamide,hydroxyurea
indometacin,indomethacin
isoprenaline,isoproterenol
lignocaine,lidocaine
methylthioninium chloride,methylene blue
mitozantrone,mitoxantrone
noradrenaline,norepinephrine
oestradiol,estradiol
paracetamol,acetaminophen
pethidine,meperidine
phenobarbitone,phenobarbital
phenoxymethylpenicillin,penicillin v
rifampicin,rifampin
salazopyrin,sulfasalazine
salbutamol,albuterol
sulphasalazine,sulfasalazine
thyroxine,levothyroxine
trimethoprim-sulfamethoxazole,sulfamethoxazole / trimethoprim
vitamin b1,thiamine
vitamin b12,cyanocobalamin
vitamin b3,niacin
vitamin b6,pyridoxine
vitamin c,ascorbic acid
vitamin pp,niacin
